ID,geometry,Author,Shakun_id,Marcott_id,Location,Proxy Type,Lat (°),Lon (°),Elev/Depth (m a.s.l),Avg. Resolution,Season_int,Reference,Notes,Temperature Calibration Used,Calibration Equation,Additional Age Model Reference,Uploader
1,Point,Thornalley,0,0,RAPiD-10-1P,Mg/Ca - N. Pachy,62.975,-17.5894,-1237,111,Summer,"Thornalley et al., 2011",,"Elderfield and Ganssen, 2000",Mg/Ca = 0.52 exp (0.1 × T),"Thornalley et al., 2010a,b",Jones
2,Point,Thornalley,0,0,RAPiD-15-4P,Mg/Ca - N. Pachy,62.2931,-17.1334,-2133,162,Summer,"Thornalley et al., 2011",,"Elderfield and Ganssen, 2000",Mg/Ca = 0.52 exp (0.1 × T),"Thornalley et al., 2010a,b",Jones
3,Point,Thornalley,0,0,RAPiD-15-4P,Mg/Ca - G. Bulloides,62.2931,-17.1334,-2133,162,,"Thornalley et al., 2011",,"Thornalley et al., 2009",Mg/Ca = 0.794 exp (0.1 × T),"Thornalley et al., 2010a,b",Jones
4,Point,Thornalley,0,0,RAPiD-15-4P,Mg/Ca - G. Inflata,62.2931,-17.1334,-2133,162,Subsurface,"Thornalley et al., 2011",Intermediate depth foram,"Thornalley et al., 2009",Mg/Ca = 0.76 exp (0.1 × T),"Thornalley et al., 2010a,b",Jones
5,Point,Max,0,0,SO201-2-114KL,UK'37,59.2307,166.9888,-1394,90,Summer-Fall,Max et al. 2012,,,,,Marcott
6,Point,Praetorius,0,0,EW0408-66JC,UK’37,58.87,-137.1,-426,100,Summer,"Praetorius et al., 2016",,"Prahl et al., 1988",,,Jones
7,Point,Max,0,0,SO201-2-85,UK'37,57.5050,170.4132,-975,200,Summer-Fall,Max et al. 2012,,,,,Marcott
8,Point,Riethdorf,0,0,SO201-2-85,Mg/Ca - N. pachy sin.,57.5050,170.4132,-975,455,,Riethdorf et al. 2013,,,,,Hupp
9,Point,Praetorius,0,0,EW0408-26TCJC,UK’37,56.96,-136.43,-1623,64,Summer,"Praetorius et al., 2016",,"Prahl et al., 1988",,,Jones
10,Point,Max,0,0,SO201-2-77,UK'37,56.3303,170.6988,-2130,250,Summer-Fall,Max et al. 2012,,,,,Marcott
11,Point,Riethdorf,0,0,SO201-2-77,Mg/Ca - N. pachy sin.,56.3303,170.6988,-2130,437,,Riethdorf et al. 2013,,,,,Hupp
12,Point,Max,0,0,SO201-2-12KL,UK'37,53.9927,162.3758,-2173,120,Summer-Fall,Max et al. 2012,,,,,Marcott
13,Point,Riethdorf,0,0,SO201-2-12KL,Mg/Ca - N. pachy sin.,53.9927,162.3758,-2173,141,,Riethdorf et al. 2013,,,,,Hupp
14,Point,Max,0,0,LV29-114-3,UK'37,49.3757,152.8779,-1762,200,Summer-Fall,Max et al. 2012,,,,,Marcott
15,Point,Riethdorf,0,0,LV29-114-3,Mg/Ca - N. pachy sin.,49.3757,152.8779,-1762,183,,Riethdorf et al. 2013,,"Kozdon et al., 2009",Mg/Ca= .13T + 0.35,,Hupp
16,Point,Affolter,0,0,MilandreCave_M6-M8,fluid inclusion dD,47.4855,7.0161,420,50,Annual,Affolter et al. 2019,Two speleothems (M6 & M8); no combined depth provided,,,,Marcott
17,Point,Watson,0,0,Silver_Lake,GDGT,41.354167,-83.8125,332,75,Annual,"Watson et al., 2018",Soil temperature,"Weijers et al., 2007a",MAT=(MBT - 0.122 - (0.187xCBT))/0.02,,Jones
18,Point,Fastovich,0,0,Bonnet_Lake ,GDGT,40.667,-82.1370,285,120,,D. Fastovich et al. (in revision) &  D. Fastovich et al. (in-prep),Unpublished - DO NOT USE BEFORE PUBLICATION,,,,McDowell
19,Point,Hou,0,0,LQDP05-1Fs,UK'37,38.8112,100.37,3192,85,Summer,"Hou et al., 2016",,"Wang and Liu, 2012",UK'37 = 0.05613 T–1.1781 ,"An et al., 2012",Jones
20,Point,Fastovich,0,0,Cupola_Pond,GDGT,36.799,-91.089,243,345,,D. Fastovich et al. (in prep) ,Unpublished - DO NOT USE BEFORE PUBLICATION,,,"R.A. Jones et al., 2017",McDowell
21,Point,Jiménez-Amat and Zahn,0,0,ODP-976,Mg/Ca - G. Bulloides,36.20,-4.30, -1108,129,Springtime subsurface (bull.),Jiménez-Amat and Zahn 2015,,"Elderfield and Ganssen, 2000",,"Combourieu Nebout, N., Turon, J.L., Zahn, R., Capotondi, L., Londeiz, L., and Pahnke, K., 2002, ",Hupp
22,Point,Martrat,0,0,ODP-976,UK'37,36.20,-4.30, -1108,38,Annual (or winter),Martrat et al. 2014,,,,,Hupp
23,Point,Rodrigo-Gamiz,0,0,TTR-12-293G,UK'37,36.17357,-2.75467,-1840,201,Annual/Spring* check this,"Rodrigo-Gamiz et al., 2014","* In Dauner et al., 2019, they say that UK'37 is summer proxy in RG14 (this paper)","Muller et al., 1998",,"Rodrigo-gamiz et al., 2011",Jones
