,t0,t100,t200,t300,t400,t500,t600,t700,t800,t900,t1000,t1100,t1200,t1300,t1400,t1500,t1600,t1700,t1800,t1900,t2000,t2100,t2200,t2300,t2400,t2500,t2600,t2700,t2800,t2900,t3000,t3100,t3200,t3300,t3400,t3500,t3600,t3700,t3800,t3900,t4000,t4100,t4200,t4300,t4400,t4500,t4600,t4700,t4800,t4900,t5000,t5100,t5200,t5300,t5400,t5500,t5600,t5700,t5800,t5900,t6000,t6100,t6200,t6300,t6400,t6500,t6600,t6700,t6800,t6900,t7000,t7100,t7200,t7300,t7400,t7500,t7600,t7700,t7800,t7900,t8000,t8100,t8200,t8300,t8400,t8500,t8600,t8700,t8800,t8900,t9000,t9100,t9200,t9300,t9400,t9500,t9600,t9700,t9800,t9900,t10000,t10100,t10200,t10300,t10400,t10500,t10600,t10700,t10800,t10900,t11000,t11100,t11200,t11300,t11400,t11500,t11600,t11700,t11800,t11900,t12000,t12100,t12200,t12300,t12400,t12500,t12600,t12700,t12800,t12900,t13000,t13100,t13200,t13300,t13400,t13500,t13600,t13700,t13800,t13900,t14000,t14100,t14200,t14300,t14400,t14500,t14600,t14700,t14800,t14900,t15000,t15100,t15200,t15300,t15400,t15500,t15600,t15700,t15800,t15900,t16000,t16100,t16200,t16300,t16400,t16500,t16600,t16700,t16800,t16900,t17000,t17100,t17200,t17300,t17400,t17500,t17600,t17700,t17800,t17900,t18000,t18100,t18200,t18300,t18400,t18500,t18600,t18700,t18800,t18900,t19000,t19100,t19200,t19300,t19400,t19500,t19600,t19700,t19800,t19900,t20000,t20100,t20200,t20300,t20400,t20500,t20600,t20700,t20800,t20900,t21000,t21100,t21200,t21300,t21400,t21500,t21600,t21700,t21800,t21900,t22000,name
2,NA,NA,17.54031501,17.42546678,17.38281564,17.47851596,17.57421628,17.60376801,17.54087665,17.47798529,17.41509393,16.89432621,16.22896596,15.72962785,15.35774849,14.98586913,14.61398977,15.30048672,16.0934503,16.34441467,16.37859452,16.41277438,15.17652554,13.59971289,13.2850057,13.83187714,13.85375199,13.08813198,12.5353083,12.80418676,13.0672465,12.82571162,12.58417673,12.8453605,13.21907301,13.72051725,14.29928952,14.75110103,15.03365128,15.26974791,15.35403264,15.43831737,15.5226021,15.61612038,15.72935042,15.84258045,15.95581049,16.00304231,16.04773838,16.09243445,16.01097437,15.84783494,15.68469551,15.52155608,15.40779288,15.61786752,15.82794216,15.82999866,15.80765079,15.78530293,15.76295506,15.51329594,14.95011711,14.55434446,14.90595352,15.25756257,15.60917163,15.66260727,15.65366806,15.64472884,15.52257809,15.27327467,15.02397126,14.91955936,14.8651598,14.81076023,15.04274378,15.34534136,15.64793894,15.55826805,15.40526928,15.2522705,14.66457772,14.03898273,13.41338773,13.36672787,13.33272814,13.30432341,13.41992248,13.53552156,13.6269169,13.49091799,13.35491908,13.24948592,13.31068543,13.37188494,13.37754514,13.17897239,12.98039963,12.78182687,12.7825618,12.78514738,12.78773296,12.79700796,12.85389078,12.91077361,12.96765643,12.999426,12.95805668,12.91668735,12.87531803,12.72459923,12.40140139,12.07820354,11.75500569,11.41835247,11.06929879,10.72024511,10.37119144,10.49136519,10.86110353,11.23084187,11.6005802,11.80384218,11.96156273,12.11928328,12.27700383,12.51572045,12.76171047,13.0077005,12.99923951,12.97738636,12.95553322,12.93368007,12.91182692,12.88997378,12.87112762,12.88423951,12.8973514,12.91046329,12.92357517,12.93668706,12.94979895,12.95417832,12.92795455,12.90173077,12.87550699,12.84928322,12.82305944,12.79683566,12.73514569,12.60985431,12.48456294,12.35927156,12.23398019,12.10868881,11.98339744,11.93367424,11.9613549,11.98903555,12.0167162,12.04439685,12.07207751,12.09975816,12.0801049,12.03265235,11.9851998,11.93774725,11.89029471,11.84284216,11.79538961,11.74793706,11.76044755,11.8093986,11.85834965,11.9073007,11.95625175,12.0052028,11.99160256,11.97120629,11.95081002,11.93041375,11.91001748,11.88962121,11.87011072,11.87302448,11.87593823,11.87885198,11.88176573,11.88467949,11.88759324,11.89019012,11.89128278,11.89237544,11.89346809,11.89456075,11.89565341,11.89674607,11.89783872,11.89893138,11.9053125,12.14678977,12.38826705,12.62974432,12.87122159,13.11269886,13.35417614,13.59565341,13.83713068,14.07860795,14.24893986,14.40864084,14.56834183,14.72804281,14.8877438,15.04744478,15.20714577,15.36684676,15.52654774,15.68624873,15.84594971,99.csv
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.078942308,5.939519231,5.93645933,5.955598086,6.059951923,6.189759615,6.358755981,6.545358852,6.381722488,5.984593301,5.418372093,5.034081633,4.908367347,5.576508475,5.447694915,5.318881356,5.1675,5.5240625,6.0075,5.65875,4.64,5.655,5.619375,6.013125,5.94125,5.40375,5.485,5.715625,6.134375,6.09375,5.899375,6.093125,6.218125,6.274375,6.325,6.163125,5.506875,5.17,5.095,6.145,5.593333333,5.696239316,5.602222222,4.965384615,4.815811966,5.074741379,5.307863248,5.266837607,5.275128205,4.446068376,4.851880342,5.458717949,5.696666667,5.231724138,4.267777778,4.052051282,4.154615385,4.337094017,4.533675214,4.686666667,4.710598291,4.59583691,4.630171674,4.664506438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.csv
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,6.5,6.3,6.1,6,6,6,5.915151515,5.809090909,5.703030303,5.596969697,5.490909091,5.384848485,5.305,5.33,5.355,5.38,5.377777778,5.266666667,5.155555556,5.115151515,5.145454545,5.175757576,5.206060606,5.236363636,5.266666667,5.296969697,5.345,5.395,5.445,5.495,5.7,5.922222222,6.067164179,5.902985075,5.73880597,5.574626866,5.410447761,5.246268657,5.082089552,5.0875,5.2625,5.4375,5.6125,5.680769231,5.642307692,5.603846154,5.546268657,5.486567164,5.426865672,5.367164179,5.307462687,5.247761194,5.24,5.44,5.64,5.84,5.946153846,5.676923077,5.407692308,5.342857143,5.414285714,5.485714286,5.557142857,5.628571429,5.7,5.628571429,5.84,5.976,5.936,5.953333333,6.486666667,6.566666667,6.5,6.5,6.566666667,6.9,6.688888889,6.664,6.744,7,7.666666667,7.48,7.766666667,8.225,8.633333333,8.966666667,7.65,7.3875,7.2625,7.7,8.7,7.628571429,7.233333333,7.288888889,7.344444444,7.4,6.951724138,6.503448276,6.171428571,6.561904762,6.466666667,6.16,5.7125,5.958823529,6.076470588,6.609090909,6.3,6.077777778,5.9,5.928571429,5.444444444,4.333333333,4.7,5,5.295454545,5.590909091,5.886363636,6.181818182,6.707142857,7.385714286,8.064285714,7.652631579,6.968421053,6.634090909,6.338636364,6.043181818,5.747727273,6.1,7.1,7.793333333,7.26,6.639473684,5.981578947,5.323684211,4.665789474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.csv
5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.109549661,8.354895932,8.93562322,7.647367627,8.339835593,7.808393051,8.596785167,8.050426667,7.974186,7.3240145,7.9186275,8.7737345,7.79121,8.38342,7.934316557,7.372618197,7.468680656,7.336983115,8.291926557,7.645452787,7.694441452,7.683710806,7.879683871,7.958135,8.027650161,7.936058387,8.153490952,8.058747097,8.174674286,7.330146563,7.81549,7.655151875,7.666568594,7.586563492,7.848350938,7.419325938,7.037555802,7.488826563,7.431830462,7.219363846,7.417703077,7.047577429,6.985974069,6.924370709,7.173313585,7.199664208,6.863965985,7.159252063,7.303502857,6.97382409,6.82183829,6.801305997,6.914989815,7.107697591,7.27812696,7.448556329,7.394813476,7.30904602,7.223278564,7.16733144,7.129352978,7.091374517,7.047345192,6.993187952,6.94163569,6.891777093,6.869643708,6.725000182,5.883259418,5.70078325,6.040520257,5.691781107,5.847465664,6.185795327,6.200520195,6.674964831,6.376418546,6.163957945,6.364710668,6.706564956,6.818084375,6.957609258,7.630293042,6.905973497,6.8815125,6.516321514,6.423128076,6.352166081,6.281204086,6.320530291,6.481266196,6.629446966,6.758284531,6.753373605,6.803034168,6.927133857,6.622295751,6.326791065,6.418392312,6.200145387,5.785823202,6.291623826,6.954941107,7.326617092,7.256219625,7.335059968,7.469049576,7.481479449,7.119467847,6.948168576,6.191297004,5.398397032,4.850141696,4.448269647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.csv
6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.43030303,3.218181818,3.006060606,2.793939394,2.581818182,2.36969697,2.202985075,2.217910448,2.232835821,2.247761194,2.262686567,2.27761194,2.292537313,2.345454545,2.436363636,2.527272727,2.618181818,2.709090909,2.8,2.890909091,3.007462687,3.126865672,3.246268657,3.365671642,3.485074627,3.604477612,3.718181818,3.809090909,3.9,3.990909091,4.081818182,4.172727273,4.263636364,4.102985075,3.774626866,3.446268657,3.117910448,2.789552239,2.46119403,2.132835821,2.435294118,2.807843137,3.180392157,3.552941176,3.925490196,3.72244898,3.375510204,3.028571429,2.681632653,2.334693878,2.84,3.44,3.666666667,3.333333333,3,3.28,3.56,3.3875,2.7625,2.216,2.376,2.536,2.528,2.408,2.308333333,2.391666667,2.475,2.388,2.228,2.173333333,2.54,2.906666667,3.177777778,3.066666667,2.955555556,2.844444444,2.8,2.8,2.8,2.8,2.855555556,3.036842105,3.721052632,4.288235294,4.582352941,4.5,4.166666667,4.005882353,3.944444444,4.388888889,4.470588235,3.705882353,3.133333333,2.688888889,2.923404255,3.327659574,3.731914894,4.136170213,4.484782609,4.332608696,4.180434783,4.02826087,3.876086957,3.754545455,3.663636364,3.572727273,3.481818182,3.452631579,3.978947368,4.505263158,5.031578947,5.4,5.4,5.4,5.4,5.0875,4.4625,3.874074074,3.614814815,3.355555556,3.268965517,3.44137931,3.613793103,4.075,4.825,5.575,5.8,5.8,5.8,4.942857143,3.871428571,2.8,2.696551724,2.593103448,2.610714286,3.717857143,4.825,5.478947368,5.075438596,4.671929825,4.268421053,3.864912281,3.461403509,3.4,3.566666667,3.733333333,3.9,4.066666667,4.233333333,4.231147541,4.116393443,4.001639344,3.886885246,3.772131148,3.657377049,3.716666667,3.95,4.183333333,4.416666667,4.65,4.883333333,5,5,5,5,5,5,4.893333333,4.626666667,4.36,4.093333333,3.826666667,3.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.csv
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,6.1875,6.076190476,6.266666667,6.37,6.27,6.26,6.46,6.6,6.6,6.6,6.8,7.02,7.12,7.17,7.02,6.963414634,7.280487805,7.597560976,7.914634146,8.145,7.595,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.052380952,7.004761905,6.775,6.525,6.563529412,6.634117647,6.704705882,6.775294118,6.845882353,6.916470588,6.987058824,7.057647059,6.8,6.05,6.070491803,6.283606557,6.496721311,6.709836066,6.92295082,7.136065574,7.242682927,7.303658537,7.364634146,7.425609756,7.486585366,7.547560976,7.608536585,7.669512195,7.525,7.175,7.175,7.525,7.825,8.075,8.104761905,7.914285714,7.88,8.08,8.16,8.06,7.923809524,7.733333333,7.63,7.73,8.085,9.035,9.457142857,8.647619048,8,8,7.97,7.82,7.728571429,7.871428571,8.033333333,8.366666667,8.7,8.777777778,7.311111111,8.31,8.066666667,8.133333333,8.15,8.388888889,8.033333333,7.933333333,8,8.355555556,8.3,9.6,7.011111111,6.788888889,7.8,7,7.4,6.55,6.1,4.2,5.033333333,3.95,4.116666667,2.95,3.3,3.65,4.844444444,3.733333333,3.033333333,2.366666667,3.85,4.175,4.925,4.214285714,5.083333333,4.485714286,6.985714286,4.485714286,3.88,4,5.38,5.025,4.125,4.1,3.785714286,4.428571429,6.257142857,2.757142857,3.35,3.385714286,4.671428571,2.14,2.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.csv
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.68,2.88,2.74,3.59,4.042857143,3.9,3.785,3.735,3.685,3.635,3.557142857,3.414285714,3.23,2.88,2.74,3.44,3.92,3.52,3.248780488,3.492682927,3.736585366,3.980487805,4.185,4.035,3.907317073,3.980487805,4.053658537,4.126829268,4.2,3.95,3.7,4.033333333,4.366666667,4.7,3.544444444,2.4,2.933333333,3.7,3.766666667,3.1,4.211111111,3.366666667,2.888888889,3.72,3.722222222,5.4,4.33,3.633333333,4.2,4.966666667,6.2125,4.75,8,5.2,5.066666667,3.4,5.428571429,5.116666667,5.7,4.25,5.542857143,4.133333333,5.233333333,3.6,3.885714286,3.083333333,4.75,3.75,4.114285714,4.333333333,5.933333333,5.4,7.3,4.8,8,5.733333333,6.55,7.975,6.885714286,9.2,10.21428571,7.930769231,8.085714286,8.771428571,9.7,7.35,6.82,6.266666667,4.84,4.82,5.577777778,3.466666667,3.533333333,4.69,3.722222222,3.477777778,3.371428571,3.228571429,3.2,3.811111111,3.876470588,3.170588235,2.3,2.657142857,2.725,2.6,2.733333333,3.26875,4.20625,2.68,3.563636364,3.08,2.34,4.090909091,3.26,3.65,4.1,4.7,4.44,4.872727273,6.025,6.875,6.2,5.372727273,5.266666667,5.16,5.25,3.416666667,4.2,4.775,5.3,4.3,9.06,5.72,3.522222222,6.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.csv
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,6.794117647,6.617647059,6.214285714,5.785714286,5.966666667,6.3,6.233333333,5.995238095,6.1,6.433333333,6.528571429,6.385714286,6.280952381,6.233333333,6.171428571,6.076190476,6.085714286,6.514285714,6.895238095,6.847619048,6.8,7.085714286,7.371428571,7.057142857,6.676190476,6.828571429,7.114285714,7.2,7.2,7.171428571,7.123809524,7.145454545,7.236363636,7.3,7.3,7.357142857,7.642857143,7.923809524,8.161904762,8.4,8.638095238,8.876190476,8.471428571,7.995238095,8.108695652,8.369565217,8.652173913,8.956521739,9.166666667,9,8.833333333,9.066666667,9.4,9.283333333,8.491666667,7.7,8.45,9.2,9.275,8.9,8.608333333,8.65,8.691666667,8.073913043,7.291304348,6.9,6.9,6.8875,6.7625,6.6375,6.891666667,7.308333333,7.586956522,7.543478261,7.5,7.583333333,7.666666667,7.95,8.366666667,8.804347826,9.326086957,9.847826087,9.4125,8.870833333,8.491304348,8.273913043,8.068421053,7.910526316,8.057142857,8.914285714,8.4,8.371428571,9.3,8.228571429,7.72,7.578571429,7.364285714,7.405,7.555,7.522222222,7.411111111,7.3,7.337037037,7.374074074,7.337931034,7.131034483,6.924137931,6.761290323,6.664516129,6.567741935,6.509677419,6.541935484,6.574193548,6.619354839,6.716129032,6.812903226,6.9,6.9,6.9,6.9,7.15,7.4,7.5,7,6.5,6.722222222,7.425925926,8.12962963,7.507692308,6.738461538,6.12173913,5.860869565,5.6,5.552380952,5.504761905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.csv
10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.985714286,2.842857143,3.266666667,3.933333333,3.942857143,3.514285714,3.419047619,3.657142857,3.723809524,3.533333333,3.471428571,3.70952381,3.823809524,3.442857143,3.19047619,4.095238095,5,4.333333333,3.666666667,3.342857143,3.057142857,3.266666667,3.6,3.666666667,3.619047619,3.685714286,3.828571429,4.559090909,5.877272727,6.357142857,4.880952381,3.7,3.7,3.685714286,3.542857143,3.4,3.447619048,3.495238095,3.714285714,3.952380952,5.219047619,6.742857143,5.933333333,4.123809524,3.739130435,4.304347826,4.575,4.158333333,3.741666667,3.7,3.7,3.743478261,3.830434783,3.858333333,3.65,3.441666667,3.633333333,3.925,3.966666667,3.633333333,3.3,3.508333333,3.716666667,3.95,4.2,4.35,4.1,3.85,3.52173913,3.173913043,3.1875,3.5625,3.858333333,3.441666667,3.025,3.082608696,3.343478261,3.566666667,3.733333333,3.9,4.117391304,4.334782609,4.195833333,3.904166667,3.6875,3.645833333,3.604166667,3.6,3.6,3.733333333,4.02,4.947058824,4.358823529,4.6,3.9,5,5.16,5.14,4.74,4.136363636,4.1,5.3125,4.6875,4.45625,4.381818182,4.2,4.006451613,3.812903226,3.619354839,3.931578947,4.3,4.55,4.466666667,4.4,4.4,4.4,4.4,3.533333333,4.15,4.821052632,3.873684211,3.74375,4.43125,3.51,5.281818182,5.570967742,5.409677419,5.248387097,5.233333333,5.280952381,5.2625,5.2,4.7,5.755555556,4.775,4.525,4.475,4.447222222,4.419444444,4.3625,4.2375,4.1125,4.2875,4.495833333,4.557142857,4.471428571,4.385714286,4.3,4.355555556,4.411111111,4.466666667,4.5,4.5,4.5,3.7,3.366666667,3.36,2.76,4.1,3.74,3.638461538,4.247058824,4.541176471,3.923076923,3.846153846,4.366666667,4.2,3.9,3.607692308,4.146153846,3.764516129,3.280645161,2.796774194,3.930769231,4.847058824,5.141176471,4.092307692,3.861538462,4.482758621,3.896551724,3.310344828,2.924,3.004,3.084,3.315384615,3.584615385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.csv
11,8.377483444,8.774834437,7.907692308,6.9,7.8,7.525,7.627272727,8.459259259,8.044,7.838235294,8.15625,7.7625,7.892405063,8.192,8.072340426,8.128571429,8.38852459,8.2,7.868571429,7.8,7.566666667,8.482,7.862068966,7.87012987,7.790425532,7.668695652,7.906711409,7.785849057,7.938793103,8.299065421,7.504347826,7.867567568,8.156060606,8.586046512,7.98,8.070786517,8.074193548,8.268852459,8.036363636,7.821311475,8.406060606,8.121487603,8.086285714,8.460465116,7.785211268,7.644366197,8.429411765,8.293814433,7.926582278,8.291954023,8.479591837,8.161728395,8.497,8.334117647,8.134453782,8.323417722,8.208426966,8.434920635,8.432,7.8,8.3,7.730172414,7.913888889,8.227272727,8.284474886,8.655172414,8.668571429,8.7,8.6,8.385714286,8.6,8.608666667,8.613103448,8.5,8.576,8.415286624,8.731288344,8.8,8.718110236,8.088188976,7.745535714,7.016666667,7.126395939,7.72617801,7.74295302,7.617021277,8.160493827,8.042424242,8.586831276,8.422222222,8.343831169,8.350128535,8.50437018,8.420754717,8.48019802,8.475438596,9.359036145,8.535813953,8.764761905,8.11221374,7.479310345,7.472750643,7.318508997,7.882867133,7.568181818,7.253496503,7.408148148,7.111851852,6.815555556,6.519259259,6.349880096,6.541726619,6.772916667,7.189583333,5.96146789,6.360185185,6,3.212121212,1.134597156,0.376303318,-0.142857143,0.095238095,0.333333333,0.571428571,1.038490566,1.774339623,2.510188679,3.246037736,3.981886792,4.571806167,4.395594714,4.21938326,4.424100719,4.675899281,4.917684887,5.078456592,5.239228296,5.4,5.534529148,5.669058296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.csv
