,Depth,Age,Temperature
1,1.25,-18,29.1
2,7.5,58,28.3
3,11.5,120,28.2
4,16.5,262,28.3
5,21.5,389,28.3
6,28.5,539,28.5
7,34.5,634,28.3
8,42.5,737,28.7
9,48.5,771,28.5
10,58.5,890,28.6
11,71.5,1151,28.7
12,103.5,1854,28.5
13,128.5,2274,28.3
14,148.5,2730,28.3
15,164.5,3183,27.8
16,170.5,3331,28.2
17,178.5,3527,28
18,180.5,3574,28.3
19,188.5,3795,28
20,192.5,3914,28
21,196.5,4032,28
22,200.5,4140,28.1
23,210.5,4393,28.1
24,220.5,4643,28
25,224.5,4732,27.9
26,228.5,4822,27.8
27,232.5,4912,28.3
28,236.5,5004,28.1
29,240.5,5096,28.3
30,250.5,5325,28.2
31,260.5,5546,28.1
32,270.5,5724,28.5
33,280.5,5913,28.4
34,288.5,6065,27.7
35,296.5,6217,28.3
36,300.5,6294,28.3
37,320.5,6674,28.1
38,340.5,7051,27.6
39,360.5,7734,27.1
40,380.5,8441,27.5
41,400.5,9146,27.9
42,412.5,9566,27.6
43,420.5,9831,27.5
44,428.5,10003,27.5
45,434.5,10134,27.6
46,440.5,10266,27.7
47,460.5,10687,27.5
48,470.5,11050,27.5
49,480.5,11419,27.4
50,484.5,11568,27.2
51,488.5,11717,27.1
52,492.5,11865,27
53,496.5,12014,27.1
54,500.5,12161,27
55,510.5,12532,27
56,520.5,12883,26.9
57,530.5,13203,27
58,540.5,13535,27
59,550.5,13863,26.9
60,560.5,14165,26.9
61,564.5,14564,26.8
62,568.5,14985,26.8
63,572.5,15407,26.9
64,576.5,15825,26.5
65,580.5,16187,26.5
66,590.5,16979,26.1
67,600.5,17767,25.7
68,610.5,18134,25.4
69,620.5,18509,25.1
70,640.5,19241,25.8
71,660.5,21911,25.7
72,680.5,24548,25.5
73,690.5,25535,25.9
74,700.5,26504,25.7
75,710.5,27009,25.3
76,720.5,27522,25.4
77,730.5,28041,26.3
78,740.5,28558,25.9
79,750.5,29075,26.3
80,760.5,29596,25.9
81,770.5,30115,26.2
82,780.5,30635,25.8
83,800.5,31488,26
84,810.5,31928,26.5
85,820.5,32370,26.4
86,840.5,33264,25.7
87,850.5,33872,26.4
88,860.5,34500,26.3
89,870.5,35132,26.4
90,880.5,35764,25.8
91,890.5,36388,25.7
92,900.5,37001,25.1
93,910.5,37413,25.5
94,920.5,37827,25.7
95,930.5,38242,25.8
96,940.5,38657,25.4
97,960.5,39485,25.1
