Depth,Age,Temperature
3,63,23.1
8,169,22.1
13,275,21.9
18,380,22.4
23,486,22
28,591,21.9
33,697,22
38,803,21.5
43,908,21.9
48,1014,21.9
53,1119,22
58,1225,21.3
63,1331,21.7
68,1436,21.6
73,1542,21.9
78,1648,22
83,1754,22.1
88,1860,22.5
93,1966,21.5
98,2071,21.6
103,2177,21.9
108,2283,22
113,2389,22.5
118,2495,22.2
123,2601,21.9
128,2707,21.7
133,2812,21.9
138,2918,21.9
143,3024,21.9
148,3121,22.2
153,3218,22
158,3316,22
163,3413,22.3
168,3510,23
173,3607,23
178,3704,23
183,3801,22.6
188,3895,22.5
193,3989,23
198,4083,22.1
203,4178,22.2
208,4272,22.7
213,4358,22.3
218,4445,22.3
223,4531,21.6
228,4618,22.1
233,4704,21.6
238,4791,22
243,4877,21.8
248,4964,22
253,5051,21.9
258,5137,22.2
263,5224,23
268,5310,22.2
273,5397,22.5
278,5483,22
283,5570,22.2
288,5656,23
293,5743,22.7
298,5848,22.7
303,5954,22.6
308,6059,22.8
313,6164,23
318,6270,22.8
323,6375,23
328,6480,22.9
333,6585,21.8
338,6691,21.7
343,6796,22.1
348,6901,22
353,7007,21.6
358,7116,22.3
363,7225,22.9
368,7334,22.4
373,7443,22.1
378,7552,21.6
383,7661,21.7
388,7770,21.6
393,7879,21.3
398,7988,21.3
403,8098,21
408,8160,22
413,8222,21.6
418,8285,21.8
423,8347,21.9
428,8409,21.2
433,8472,21.9
438,8534,22
443,8596,21.9
448,8659,21.8
453,8721,21.7
458,8783,22
463,8846,22
468,8908,21.6
473,8970,21.9
478,9033,22.2
483,9095,22.1
488,9157,21.9
493,9220,22.1
498,9282,22
503,9345,21.7
508,9407,22
513,9469,21.9
518,9532,22.3
523,9594,22.3
528,9656,22.3
533,9719,22.4
538,9781,22.7
543,9843,22.7
548,9906,22.8
553,9968,23
558,10030,22.7
563,10093,22.6
568,10155,22.6
573,10217,22.7
578,10280,22.6
583,10342,22
588,10405,22.5
593,10467,22.6
598,10529,22.2
603,10592,22
608,10654,22.5
613,10716,22.6
618,10779,22.6
623,10841,22.3
628,10904,22
633,10966,22.3
638,11029,22.2
643,11092,22
648,11154,22.2
653,11217,21.8
658,11279,22.1
663,11342,22
668,11405,21.6
673,11467,21.7
678,11531,22
683,11594,21.8
688,11657,21.9
693,11720,21.4
698,11784,21.6
703,11847,21.6
708,11910,21.5
713,11974,22
718,12037,21.4
723,12100,21.8
728,12163,21.4
733,12227,21.7
738,12290,21.6
743,12353,21
748,12416,21.6
753,12480,20.9
758,12543,19.7
763,12606,19.7
768,12670,19.7
773,12733,20
778,12796,20.3
783,12859,21
788,12923,20
793,12986,19.8
798,13049,20
803,13112,20
808,13172,20.9
813,13232,21
818,13277,20
823,13323,20
828,13368,22
833,13413,21.1
838,13459,20.7
843,13504,21
848,13550,20.9
853,13595,20.9
858,13640,20.7
863,13686,21
868,13731,21
873,13776,21.6
878,13822,21.6
883,13867,21.8
888,13912,21.6
893,13958,21.1
898,14003,21.5
903,14048,21.6
908,14094,21.4
913,14139,21.5
918,14184,21.5
923,14230,21
928,14275,21.1
933,14320,21
938,14366,21.3
943,14411,21.5
948,14456,21.3
953,14502,21.2
958,14535,20.8
963,14569,21.6
968,14602,22
973,14636,21.9
978,14669,22
983,14702,21
988,14736,21.5
993,14769,21.6
998,14803,21.7
1003,14836,20
1008,14870,20
1013,14903,20
1018,14937,20.2
1023,14970,20.2
1028,15004,20.3
1033,15030,20
1038,15057,20.9
1043,15080,19.4
1048,15104,19.4
1053,15127,21
1058,15151,21.5
1063,15174,19
1068,15198,19.4
1073,15221,19
1078,15245,21
1083,15268,20
1088,15291,20.8
1093,15315,21
1098,15338,21
1103,15362,21
1108,15385,21
1113,15409,20.5
1118,15432,20
1123,15456,21
1128,15479,21
1133,15502,21
1138,15526,20.7
1143,15549,21.2
1148,15573,21.3
1153,15596,21
1158,15620,20.6
1163,15643,21
1168,15667,21
1173,15690,20.7
1178,15735,21
1183,15780,21.3
1188,15824,21.3
1193,15870,21
1198,15916,21.5
1203,15962,21
1208,16008,21
1213,16054,21
1218,16100,21.1
1223,16146,21
1228,16192,21
1233,16238,21
1238,16284,21
1243,16330,21
1248,16376,21
1253,16422,21
1258,16468,21
1263,16513,20.7
1268,16559,21
1273,16605,21.2
1278,16651,20.8
1283,16697,21.3
1288,16743,20.8
1293,16789,21.1
1298,16835,20.7
1303,16881,21
1308,16927,21.2
1313,16973,21
1318,17019,21.6
1323,17065,21.2
1328,17111,21
1333,17157,21.1
1338,17203,21
1343,17249,20.9
1348,17295,21.5
