,time,NH,NM,Tropical,SM,SH,AN,AS,land,sea
1,100,0.416332298,1.517285052,0.811922685,0.452248215,2.246434405,1.187621233,0.836716684,1.349221605,0.825176306
2,200,0.268068157,1.360509872,0.68142659,0.384045115,2.09876896,1.033394556,0.751485939,1.195980269,0.683115447
3,300,0.171882129,1.35264791,0.637359732,0.315114121,2.086400405,0.999085275,0.694675468,1.177837299,0.62801964
4,400,0.477066931,1.466200845,0.654548018,0.350468658,2.122207516,1.170019503,0.730126984,1.303937018,0.758106325
5,500,0.410490848,1.535231954,0.67821005,0.327699049,2.123015016,1.198445069,0.712409613,1.327435266,0.760424686
6,600,0.468304138,1.545266181,0.713508796,0.319817539,2.195767127,1.222786021,0.721806737,1.351258402,0.775231088
7,700,0.13845911,1.287296516,0.662255844,0.322259549,2.127707183,0.943294355,0.709141184,1.113047687,0.635094316
8,800,0.309585657,1.337664674,0.682836113,0.320203621,2.265229294,1.029821804,0.736994837,1.206128878,0.69152373
9,900,0.283278072,1.358525865,0.680263542,0.302479961,2.201819849,1.036559012,0.709481365,1.204915034,0.693387659
10,1000,0.321121817,1.395325256,0.645027859,0.27694283,2.154860238,1.073671119,0.679353703,1.204405398,0.698696063
11,1100,0.110784751,1.308910295,0.627689844,0.306951855,2.05758546,0.950149539,0.682087627,1.096615511,0.639248053
12,1200,0.323864563,1.374209222,0.617886717,0.265949982,2.12380096,1.059699239,0.664060906,1.199860909,0.66860507
13,1300,0.639770619,1.48978672,0.620972574,0.241838582,2.104612294,1.235262125,0.641004377,1.335617538,0.75923442
14,1400,0.416775487,1.354758324,0.562087304,0.265229509,2.122150238,1.073893406,0.663141094,1.220639711,0.66035351
15,1500,0.412505006,1.368983789,0.602664494,0.251103039,2.135278072,1.082580538,0.654854832,1.223043816,0.68586842
16,1600,1.029807527,1.581169226,0.634694352,0.258278994,2.186071238,1.41607222,0.671377332,1.510882709,0.871683225
17,1700,0.83140294,1.53765467,0.601748828,0.262787488,2.208518516,1.326178163,0.679729851,1.425535661,0.817481862
18,1800,0.994608876,1.578766351,0.631359161,0.308450321,2.165280738,1.403849141,0.706342553,1.537311064,0.843617719
19,1900,0.761410931,1.452127424,0.599065256,0.312813897,2.219916738,1.245302711,0.721478792,1.374618106,0.773408321
20,2000,0.235133289,1.184467054,0.549166129,0.334076527,2.260368127,0.900203271,0.746853299,1.093897581,0.606898238
21,2100,0.099388204,1.098612042,0.542102479,0.323776873,2.266123738,0.799409424,0.739994058,1.006717095,0.54538191
22,2200,0.298713638,1.242965027,0.543160193,0.230235627,2.221956016,0.960223086,0.657032853,1.105033725,0.608896682
23,2300,0.553815855,1.335113466,0.583564383,0.251624633,2.259556516,1.101165594,0.681895751,1.24787394,0.699336116
24,2400,0.531288921,1.348917958,0.564483288,0.326992033,2.325171294,1.104091185,0.755173303,1.287987076,0.680517325
25,2500,0.400808129,1.218219554,0.526132034,0.244229027,2.093676072,0.97345794,0.640539108,1.135501258,0.593160424
26,2600,0.367287129,1.307648747,0.53445505,0.195998373,2.153783849,1.026071539,0.615523832,1.172055535,0.632849955
27,2700,0.734792498,1.312048709,0.527610558,0.224777191,2.152686794,1.13919798,0.637900677,1.273565284,0.704889149
28,2800,0.552627383,1.331572211,0.502154732,0.213059846,2.095591183,1.098328844,0.616459418,1.210473022,0.678446153
29,2900,1.005982846,1.510598261,0.539130923,0.201301397,2.185706516,1.35949873,0.626531065,1.456367029,0.809276381
30,3000,1.445298166,1.635996658,0.549525336,0.236664485,2.178173294,1.57889485,0.652702087,1.657843809,0.924244367
31,3100,1.374494955,1.593159297,0.537655399,0.253220888,2.284234516,1.527683534,0.688438094,1.627042879,0.884517392
32,3200,1.088749768,1.391212309,0.487703304,0.234380594,2.19911236,1.30064443,0.655394544,1.382018082,0.793609359
33,3300,1.165428355,1.389470687,0.490284717,0.216828558,2.112442627,1.322384565,0.623031573,1.397138603,0.806540004
34,3400,0.936619902,1.331119771,0.45267805,0.232549636,2.160304683,1.212992692,0.645640003,1.302123926,0.746869017
35,3500,1.37611184,1.37739015,0.458412542,0.218574733,2.228343849,1.377007379,0.649239544,1.46413291,0.813523556
36,3600,1.297455419,1.377748789,0.487655177,0.207411673,2.260337016,1.353706142,0.647324246,1.441590365,0.836313898
37,3700,1.304290317,1.436985815,0.45168405,0.216597688,2.225195627,1.397252135,0.647011532,1.471659088,0.820812381
38,3800,1.182126223,1.436077903,0.442128463,0.272775836,2.23954496,1.360035874,0.694226363,1.443353604,0.815879097
39,3900,1.175908232,1.430033453,0.477972082,0.210123688,2.260466516,1.35393946,0.649482865,1.429285139,0.813580259
40,4000,1.473506685,1.528322226,0.438723447,0.206819679,2.296062072,1.511908533,0.654514477,1.562976421,0.900659992
41,4100,0.943640157,1.192860245,0.40287532,0.246902864,2.171755294,1.118235021,0.659371242,1.228411919,0.713713009
42,4200,1.150595214,1.269713714,0.467648367,0.220342003,2.224025405,1.234045463,0.649702732,1.321135782,0.779302135
43,4300,1.064514402,1.260514086,0.404736161,0.264479273,2.158522072,1.201824915,0.670345587,1.308177682,0.727024304
44,4400,1.296401657,1.28643218,0.453271637,0.245095679,2.184945516,1.28941739,0.660777787,1.379125919,0.801306457
45,4500,1.194916223,1.33501857,0.429254209,0.256279255,2.246951738,1.29306702,0.68285193,1.376576358,0.787722316
46,4600,1.539073606,1.455963754,0.431501907,0.225055897,2.128958627,1.480849755,0.633035053,1.533860043,0.870803287
47,4700,1.788952414,1.568716117,0.475831018,0.160194503,2.107579183,1.634662579,0.57749122,1.652948295,0.945230323
48,4800,1.359788421,1.344374452,0.42761659,0.247549112,2.177264738,1.348989934,0.661059603,1.427121346,0.813859
49,4900,1.511099968,1.372901739,0.404800621,0.201027667,2.051658072,1.41428313,0.597591325,1.466626256,0.818004552
50,5000,1.394972808,1.315734105,0.382719177,0.214743879,2.23425996,1.339460948,0.647497325,1.421268271,0.792463219
51,5100,1.176180515,1.070208739,0.373027225,0.155282024,1.75285996,1.101940401,0.497620153,1.19344611,0.66354428
52,5200,1.12045961,1.055829747,0.317105431,0.118991927,1.558628072,1.075182191,0.427485387,1.133623952,0.639063123
53,5300,1.297881855,1.166783488,0.32998624,0.133433761,1.585478127,1.206038931,0.444586125,1.265319506,0.704585598
54,5400,1.194905789,1.109465366,0.322291859,0.109055749,1.635929516,1.135049222,0.436242984,1.18382209,0.674480335
55,5500,1.196955572,1.089032848,0.326583272,0.083100797,1.505528849,1.121348692,0.387906808,1.157153222,0.64306479
56,5600,1.420646978,1.258124781,0.305567891,0.099944458,1.637141794,1.30678962,0.429343887,1.336322054,0.737407868
57,5700,1.428883025,1.198834781,0.341551812,0.120573446,1.534629016,1.267719283,0.423585353,1.291488208,0.728508538
58,5800,1.329455383,1.212702174,0.309552812,0.069866179,1.48605746,1.247662175,0.373335739,1.298655593,0.699823645
59,5900,1.701795949,1.323811404,0.320568748,0.083139679,1.54476796,1.436993217,0.396345739,1.4629331,0.794941284
60,6000,1.743089732,1.285909997,0.331786891,0.112179594,1.447630405,1.422805624,0.398347625,1.441024426,0.800877403
61,6100,1.234452931,1.030799523,0.270615494,0.110883188,1.495220849,1.091780487,0.407526973,1.159339873,0.617537063
62,6200,1.104648515,0.973766811,0.228567923,0.069978076,1.434858072,1.012957378,0.362452361,1.080309402,0.555091942
63,6300,0.999008242,0.884993371,0.197216526,0.020087467,1.422140794,0.919133417,0.320527465,0.999497705,0.489144331
64,6400,1.26154577,1.08588287,0.245096288,0.042131252,1.408098238,1.138482495,0.334838463,1.193690165,0.596411269
65,6500,1.35529177,1.103921469,0.249426748,0.028255149,1.392010516,1.179190542,0.320488442,1.216563792,0.627828023
66,6600,1.409405072,1.139324302,0.246002272,0.062512388,1.457306849,1.220195945,0.361396915,1.258368112,0.661586834
67,6700,1.653777751,1.175465919,0.238908177,0.083683203,1.469854516,1.318689236,0.380719913,1.345123306,0.70309274
68,6800,1.324303695,0.881896729,0.245503621,0.141857503,1.351281405,1.014368872,0.401019768,1.110283552,0.5704244
69,6900,1.147329997,0.82185172,0.229011796,0.089092382,1.322127016,0.919311317,0.353314089,1.013611474,0.498473178
70,7000,1.079769497,0.725488792,0.192430494,0.135704097,1.393445294,0.831572845,0.405220068,0.95560907,0.469044395
71,7100,1.202436298,0.841720073,0.172908526,0.124591327,1.319756183,0.949731146,0.380698082,1.052152425,0.506118403
72,7200,1.206415846,0.856832377,0.18835559,0.167997697,1.368218794,0.961509913,0.425187932,1.059249585,0.514373589
73,7300,0.961290893,0.646850221,0.17073824,0.142185715,1.399673627,0.741004772,0.411647411,0.856544543,0.416066718
74,7400,0.838194383,0.643745505,0.124101606,0.125563091,1.324696183,0.70197031,0.382520182,0.807563683,0.394279644
75,7500,1.261742025,0.736016408,0.178774796,0.085195906,1.26600996,0.893437073,0.338227489,0.983403267,0.485825433
76,7600,1.355490157,0.833664621,0.154279415,0.059423161,1.172045405,0.989917465,0.297842213,1.053003266,0.504941427
77,7700,1.169083157,0.725467355,0.204814701,0.075295176,1.233617294,0.858301465,0.323507058,0.944478287,0.472651348
