time,ne_labrador,se_usa,midwest,rocky_mt,w_usa,c_canada,alaska_yukon,greenland,mediterranean,scandinavia,uk,c_north_europe,iceland,siberia,e_china_japan,tibet,se_asia,australia,new_zealand,n_indian_ocean,e_africa,s_africa,w_africa,c_atlantic,s_atlantic,e_pacific,chile,antarctica,russian_far_east,carribean,se_brazil
100,0.932867255,1.911114584,1.783327548,2.089874471,1.789796742,0.433233539,1.701445594,-0.79651447,1.401296267,-0.109869873,0.64107303,0.768091264,-0.751622009,4.172461449,1.051733621,1.059379108,0.921939677,0.431085317,0.567306973,0.803488662,0.599937942,0.471905153,0.566043122,0.523705618,0.694059607,0.919480607,0.343918864,2.852134634,4.376710419,1.306875992,0.030189805
200,0.614310528,1.883529573,1.534481768,1.707200931,1.466253375,0.171490106,1.525251488,-1.033404113,1.20964061,-0.211882587,0.629547955,0.770906539,-0.959451652,4.074651167,0.924611929,0.894427108,0.762048314,0.283089317,0.539879336,0.642254787,0.511171579,0.350325296,0.479604722,0.449993951,0.580135032,0.759646307,0.258165921,2.645975865,4.528977157,1.130146992,0.347236805
300,0.644644122,1.839807984,1.542204845,1.651387691,1.455532408,0.166530226,1.707192004,-1.121661542,1.128951153,-0.467223492,0.486943355,0.687080739,-1.00778258,3.978779235,1.016079044,0.893470671,0.734437996,0.23028675,0.498301348,0.603124412,0.462604306,0.313533725,0.427943322,0.427212785,0.489660857,0.710246807,0.208609035,2.691833711,4.592468369,1.072336992,-0.105230695
400,0.767762481,1.746739206,1.647053134,1.790215911,1.598085408,0.454026366,2.089724421,-0.847413685,1.392366467,-0.270675387,0.694273393,0.638205673,-0.772842723,4.218517494,0.95335669,1.005801046,0.717740314,0.279554984,0.477593648,0.712540287,0.481419215,0.320155296,0.444284522,0.391800451,0.580100357,0.757675407,0.261597506,2.690951172,5.285983007,1.130439658,0.262971305
500,0.985742731,1.662383406,1.606688764,1.712777391,1.794181325,0.606887846,2.368229937,-0.822268256,1.4622777,-0.478606506,0.549253418,0.559993518,-0.916322223,4.16327452,1.131946744,1.206217296,0.748639087,0.273051817,0.439637661,0.749528162,0.462492761,0.312078296,0.428466322,0.434432951,0.519621019,0.785277207,0.274748806,2.371790134,5.030061982,1.345369325,0.114013305
600,0.985207632,1.644147718,1.579284844,1.723855411,1.739061158,0.714008992,2.055103358,-0.647466756,1.445096005,-0.348364863,0.83478853,0.753973668,-0.589564723,4.151601892,1.088485006,1.207974796,0.827641632,0.255802184,0.368512173,0.725742412,0.472689215,0.305203725,0.457094322,0.472812118,0.539802894,0.810796207,0.259946092,2.434516903,4.701925344,1.289696658,0.344809305
700,0.830790641,1.462322118,1.321722116,1.415009571,1.471610408,0.525455419,1.813064081,-0.770374756,1.311440505,-0.654600959,0.505485218,0.433283342,-1.083116866,3.519974335,0.97825529,1.139090921,0.725471405,0.210030084,0.306254736,0.709121037,0.441878579,0.35817401,0.395392922,0.402296618,0.540092069,0.826316107,0.305643706,2.403557249,3.628245719,1.285873992,0.296205305
800,0.84596657,1.49787438,1.338751927,1.564491491,1.604376092,0.514078326,1.894253322,-0.559738185,1.281869729,-0.535973649,0.351749868,0.501015971,-0.962339652,3.930277194,1.005372844,1.080819796,0.78161045,0.28813515,0.352702736,0.699373162,0.47987867,0.292850296,0.420704522,0.425219285,0.588728957,0.798953407,0.276745749,2.501524557,4.395669494,1.268097325,0.325153805
900,0.880461515,1.593931362,1.429426594,1.544444511,1.515672925,0.465097226,1.921928437,-0.523322542,1.33946301,-0.564829411,0.479418355,0.481554443,-0.974966152,3.841523096,0.946133236,1.147723983,0.754170768,0.246908184,0.323810336,0.672990162,0.48217867,0.313995296,0.417288122,0.433147618,0.540009894,0.835177207,0.248818864,2.464962018,4.433314169,1.306266658,0.309223305
1000,0.909648751,1.557211173,1.324240328,1.454124931,1.515570742,0.542964286,1.988549135,-0.56519447,1.436062448,-0.520323582,0.690409193,0.601132609,-0.688812866,3.62233286,1.031916575,1.191373171,0.729620359,0.203120884,0.311793523,0.666610912,0.432521942,0.331953725,0.394311922,0.408305451,0.500461594,0.760306007,0.228321506,2.43772098,4.180867657,1.240697325,0.207178805
