u_id,group_id,lat,lon,sitename,filename,elevation,country,gcmd_location,author,pub_year,title,journal,archive_type,min_yr,max_yr,proxy,num_record,num_control,url,process_group,resolution,collected,shakun,marcott,new,filename,uploader,t0,t100,t200,t300,t400,t500,t600,t700,t800,t900,t1000,t1100,t1200,t1300,t1400,t1500,t1600,t1700,t1800,t1900,t2000,t2100,t2200,t2300,t2400,t2500,t2600,t2700,t2800,t2900,t3000,t3100,t3200,t3300,t3400,t3500,t3600,t3700,t3800,t3900,t4000,t4100,t4200,t4300,t4400,t4500,t4600,t4700,t4800,t4900,t5000,t5100,t5200,t5300,t5400,t5500,t5600,t5700,t5800,t5900,t6000,t6100,t6200,t6300,t6400,t6500,t6600,t6700,t6800,t6900,t7000,t7100,t7200,t7300,t7400,t7500,t7600,t7700,t7800,t7900,t8000,t8100,t8200,t8300,t8400,t8500,t8600,t8700,t8800,t8900,t9000,t9100,t9200,t9300,t9400,t9500,t9600,t9700,t9800,t9900,t10000,t10100,t10200,t10300,t10400,t10500,t10600,t10700,t10800,t10900,t11000,t11100,t11200,t11300,t11400,t11500,t11600,t11700,t11800,t11900,t12000,t12100,t12200,t12300,t12400,t12500,t12600,t12700,t12800,t12900,t13000,t13100,t13200,t13300,t13400,t13500,t13600,t13700,t13800,t13900,t14000,t14100,t14200,t14300,t14400,t14500,t14600,t14700,t14800,t14900,t15000,t15100,t15200,t15300,t15400,t15500,t15600,t15700,t15800,t15900,t16000,t16100,t16200,t16300,t16400,t16500,t16600,t16700,t16800,t16900,t17000,t17100,t17200,t17300,t17400,t17500,t17600,t17700,t17800,t17900,t18000,t18100,t18200,t18300,t18400,t18500,t18600,t18700,t18800,t18900,t19000,t19100,t19200,t19300,t19400,t19500,t19600,t19700,t19800,t19900,t20000,t20100,t20200,t20300,t20400,t20500,t20600,t20700,t20800,t20900,t21000,t21100,t21200,t21300,t21400,t21500,t21600,t21700,t21800,t21900,t22000
1,1,36.2054,-4.3127,161_976,161_976.Martrat.2014.lpd,-1108,Atlantic Ocean>North Atlantic Ocean>Mediterranean Sea,Atlantic Ocean>North Atlantic Ocean>Mediterranean Sea,"Martrat, Belen; Jimenez-Amat, Patricia; Zahn, Rainer; Grimalt, Joan O.",2014,Similarities and dissimilarities between the last two deglaciations and interglaciations in the North Atlantic region,Quaternary Science Reviews,MarineSediment,185,149480,alkenone,867,11,"10.1594/PANGAEA.787827,10.1594/PANGAEA.847255,10.1594/PANGAEA.847256",wave3,172.1972318,NA,NA,NA,NA,161_976.Martrat.2014.lpd.csv,LipD,7.243816393,6.901859401,7.113630518,7.325401635,7.537172752,7.721886885,7.869236612,8.016586339,8.163936066,8.136610383,8.054124044,7.971637705,7.909118579,8.026304372,8.143490164,8.260675956,8.056854098,7.444477049,6.8321,6.219722951,6.520503542,7.078841417,7.637179292,8.060640437,7.39282623,6.725012022,6.057197814,6.033178689,6.796020219,7.558861749,8.321703279,8.553971311,8.64520082,8.736430328,8.763559128,8.361706267,7.959853406,7.558000545,7.385232058,7.481388707,7.577545355,7.673702004,7.769858652,7.866015301,7.828986885,7.930788525,8.910706557,9.89062459,10.87054262,11.32201475,11.20100383,11.0799929,10.95898197,10.99915804,11.07471662,11.1502752,11.25170082,11.49970628,11.74771175,11.99571721,12.39093689,12.93937951,13.48782213,14.03626475,13.73468306,13.259,12.78331694,12.33562861,12.02462044,11.71361226,11.40260409,11.30684044,11.42632131,11.54580219,11.66528306,12.19696066,12.80715191,13.41734317,13.90570492,13.83906557,13.77242623,13.70578689,13.51471694,13.20878798,12.90285902,12.59693005,12.65401935,12.77020463,12.88638992,12.98336038,12.99841503,13.01346967,13.02852432,12.75726311,12.23209918,11.70693525,11.18177131,11.67127459,12.31239481,12.95351503,13.46159646,13.46919864,13.47680082,13.484403,13.43453443,13.33570929,13.23688415,13.13805902,12.95294098,12.75605574,12.55917049,12.41411148,12.4528,12.49148852,12.53017705,12.24382077,11.70207213,11.1603235,10.61857486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2,10.7061,-65.1694,165_1002C,165_1002C.Herbert.2000.lpd,-892.6,Atlantic Ocean>North Atlantic Ocean>Caribbean Sea,Atlantic Ocean>North Atlantic Ocean>Caribbean Sea,"Herbert, T.D., Schuffert, J.D.",2000,Alkenone unsaturation estimates of sea-surface tempreatures at site 1002 over a full glacial cycle,"Proceedings of the Ocean Drilling Program, Scientific Results",MarineSediment,NA,NA,alkenone,280,11,"10.1594/PANGAEA.441587,10.1594/PANGAEA.803256",wave3,NA,NA,NA,NA,NA,165_1002C.Herbert.2000.lpd.csv,LipD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,34.2875,-120.036,893A,893A.Kennet.2007.lpd,-588,Pacific Ocean>North Pacific Ocean,Pacific Ocean>North Pacific Ocean,"Kennett, Douglas J.; Kennett, James P.; Erlandson, Jon M.; Cannariato, Kevin G.",2007,Human responses to Middle Holocene climate change on California's Channel Islands,Quaternary Science Reviews,MarineSediment,NA,NA,d18O,256,8,this compilation,wave3,NA,NA,NA,NA,NA,893A.Kennet.2007.lpd.csv,LipD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.59458193,29.42958193,28.95864878,31.17958795,29.48304634,29.58932048,29.88285783,29.69089756,28.1091988,28.08142561,29.33055422,28.75777349,29.93061951,29.25702109,29.93423197,30.35387143,30.45369456,29.66866054,29.3899551,29.23193836,28.69529452,29.48966735,30.00767075,28.81998367,28.20049524,28.18597143,29.06331837,28.57947891,28.51587483,29.32410612,29.11547483,28.66232808,28.01763197,28.46082925,28.90299796,29.30846667,29.23799048,29.17594865,29.17122245,29.54557619,29.41378919,29.19153333,29.8582,29.25722027,28.58501429,29.58644286,29.34646216,28.96706122,29.3295102,29.32118919,28.92805918,27.91418163,27.82831959,27.95258299,28.15578027,28.59970811,29.2263,30.06820476,30.04476284,29.16878639,27.3828,27.72107068,27.9592,28.0432218,27.9145,28.47299624,29.47515,30.42691053,30.8327,29.13901579,28.4439,28.4692015,28.9586,28.27897594,28.782,29.52932331,29.59,29.54054286,29.37502344,29.19957143,30.1958,30.46522969,29.70457143,27.8938,28.70548,29.392,28.91556,27.75456,27.9036,28.69464,29.2989,29.55226,29.72602,30.5269,30.82554,29.16818,27.9967,27.78312,27.0296,28.61136,28.51144,29.0382,30.31196,30.265,29.55825,28.0228,27.79515,27.2939,28.6912,28.3265,25.77225588,27.79812857,28.19576,26.31827714,27.47659143,26.54415588,26.359166,27.59190408,27.1601898,27.72512,26.45580612,28.83421224,28.16049,27.9402,27.65611778,29.70581333,26.85261556,27.64988,27.50604545,27.93672,27.12787778,27.89195763,26.64440345,25.74805517,27.04806207,27.02132034,27.15460847,26.31754576,25.468,25.7212,25.6297,25.48555,26.091,25.9927625,24.27240154,25.21922769,25.45575,25.42030938,24.5633375,26.2200875,26.19123125,25.38423692,24.63397846,25.80639531,26.566175,26.1304875,26.2539,25.1842375,25.86999077,26.23046308,26.16109375,25.78565692,25.69960156,25.79551875,25.56132615,26.26133231,24.8429,24.92918769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,4,27.82,126.9783,A7,A7.Sun.2005.lpd,-1264,Pacific Ocean>Western Pacific Ocean>East China Sea,Pacific Ocean>Western Pacific Ocean>East China Sea,"Sun, Youbin; Oppo, Delia W.; Xiang, Rong; Liu, Weiguo; Gao, Shu",2005,Last deglaciation in the Okinawa Trough: Subtropical northwest Pacific link to Northern Hemisphere and tropical climate,Paleoceanography,MarineSediment,1367,18193,Mg/Ca,225,8,www.ncdc.noaa.gov/paleo/study/2646,wave3,74.78222222,y,NA,y,NA,A7.Sun.2005.lpd.csv,LipD,0.099674823,0.094294783,0.088914743,0.083534703,0.08013,0.082347411,0.084564822,0.086782233,0.06468632,-7.51E-05,-0.038369705,0.225121619,-0.020823329,0.17178965,0.202625985,0.156135188,0.133265527,0.044606303,0.024739936,0.082733621,0.163833087,0.176131267,0.145918735,0.017640494,-0.177199136,0.035282841,0.223818702,0.232341361,0.27573295,0.119117878,0.209528926,0.315703069,0.109320267,0.078095408,0.195966146,0.282557364,0.265792603,0.166812555,0.226622787,0.253791911,0.258650784,0.257839981,0.22777451,0.110639559,0.05270772,0.041292612,-0.007081184,0.002304167,0.237575767,0.256470001,0.027412491,0.054964853,0.130585007,0.170679954,0.198871414,0.118729122,0.077419971,0.159082434,0.224537242,0.267238994,0.309551853,0.35144172,0.323243036,0.208685247,0.145271281,0.179387396,0.200594269,0.15300632,0.10541837,0.074368873,0.047173589,0.022060972,0.000375386,-0.0213102,0.084585783,0.20592886,0.261369814,0.228735965,0.194861098,0.146518153,0.098175208,0.130476608,0.176786651,0.164945307,0.119822352,0.136335492,0.230660717,0.278396674,0.172767955,0.149493826,0.29418301,0.301193631,0.288226852,0.225302051,0.044279267,0.142401091,0.251734471,0.336314808,0.383371713,0.403649277,0.275133371,0.001818317,-0.038024962,0.168854395,0.158409241,0.147964086,0.137518931,0.1559628,0.189825964,0.179146921,0.14769893,0.125685109,0.106074219,0.131543704,0.16521931,0.040266486,-0.031645529,0.013211049,0.058067626,0.105080096,0.171713354,0.208026272,0.214139888,0.212521284,0.047098488,-0.341090839,-0.162698683,-0.062657736,-0.094165209,-0.060652945,-0.560291557,-0.277927687,-0.179105814,-0.279423034,-0.105313821,-0.205474835,-0.337149564,-0.537321144,-0.126460321,-0.459076265,-0.482492627,-0.343126934,-0.380892932,-0.243239712,-0.66413728,-0.569669093,-0.556940767,-0.419267928,-0.362497502,-0.323985348,-0.38706198,-0.353260172,-0.353353887,-0.356978079,-0.398865663,-0.365983465,-0.269622572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5,65.02,-127.48,Bells Lake,BellsLake.Szeicz.1995.lpd,580,North America>Canada>Northwest Territories,North America>Canada>Northwest Territories,"Szeicz, Julian M.; MacDonald, Glen M.; Duk-Rodkin, Alejandra",1995,"Late Quaternary vegetation history of the central Mackenzie Mountains, Northwest Territories, Canada","Palaeogeography, Palaeoclimatology, Palaeoecology",LakeSediment,0,13299,pollen,53,17,10.21233/N35G6P,wave3,250.9245283,NA,NA,NA,NA,BellsLake.Szeicz.1995.lpd.csv,LipD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,6,-7.4,115.2,BJ8_03_13GGC,BJ8_03_13GGC.Linsley.2010.lpd,-594,Pacific Ocean>Western Pacific Ocean>South China And Eastern Archipelagic Seas,Pacific Ocean>Western Pacific Ocean>South China And Eastern Archipelagic Seas,"Linsley, Braddock K.; Rosenthal, Yair; Oppo, Delia W.",2010,Holocene evolution of the Indonesian throughflow and the western Pacific warm pool,Nature Geoscience,MarineSediment,129,10575,Mg/Ca,397,5,www.ncdc.noaa.gov/paleo/study/10420,wave3,26.31234257,y,NA,y,NA,BJ8_03_13GGC.Linsley.2010.lpd.csv,LipD,NA,NA,29.79276,29.21372667,30.51493556,29.98618444,30.99690667,30.254642,30.60698182,30.05243636,29.76502468,29.71450519,30.06287857,30.49222941,31.0156281,30.72337273,30.76723506,31.47522208,30.79191818,30.20504805,30.46154156,29.94130519,29.52977164,30.3732791,29.89631386,31.19919604,31.00145545,30.78775,30.62275,30.62658515,30.36639109,30.85714455,30.66171881,30.69904455,30.89603267,30.67386634,30.3784802,30.6194703,30.2059495,30.24419604,31.02442574,30.27661091,29.92614841,30.29250556,30.63512143,30.43202619,30.921728,31.15753968,31.09694286,30.99144595,30.7977,30.29076216,31.43911216,30.73235479,29.95819189,30.90546438,31.10628514,31.35983571,30.72115952,30.22611781,30.58716809,31.19892892,31.39100476,31.20168214,32.64963085,31.33885225,30.68228649,31.78030179,30.96048036,30.89178829,30.82525605,30.73314843,31.07788919,31.4186964,31.19735357,30.97241279,31.51485465,31.87914633,32.05801638,32.23688644,32.4157565,31.99333559,31.5392678,31.0852,30.84201582,30.90229831,30.96258079,31.02286328,30.93367288,30.82214746,30.71062203,30.60261102,30.50173531,30.4008596,30.2999839,30.3106678,30.35100678,30.39134576,30.46222853,30.62474266,30.78725678,30.9497709,30.69101836,30.26019915,29.82937994,29.49579209,29.63692203,29.77805198,29.91918192,29.94735678,29.90919294,29.8710291,29.84649277,29.95974578,30.0729988,30.18625181,29.97246697,29.6609955,29.34952402,29.30260723,29.59239639,29.88218554,30.06523253,29.46550361,28.8657747,28.26604578,28.61766627,29.2071241,29.79658193,30.0311,29.8811,29.7311,29.58510301,29.46178976,29.33847651,29.21516325,29.046425,28.86838283,28.69034066,28.9769777,29.52223913,28.69006522,28.78465971,28.8934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,7,38.6345,-9.4542,D13882,D13882.Tierney.lpd,-88,Atlantic Ocean>North Atlantic Ocean,Atlantic Ocean>North Atlantic Ocean,NA,NA,NA,NA,MarineSediment,442,13106,alkenone,293,5,10.1594/PANGAEA.761812,wave3,43.221843,y,NA,y,NA,D13882.Tierney.lpd.csv,LipD,NA,NA,2.937919678,2.085608209,2.288268103,1.79581481,1.332184645,1.109272467,1.17018819,1.263758353,1.052027819,1.450085913,1.641003682,1.444820674,1.533461066,1.588662212,1.873607664,2.245325242,2.512207828,2.709224056,2.454962498,2.040445929,2.712610119,2.828524478,3.184886131,3.512173735,3.258179537,3.596162791,4.438023256,4.671264737,4.231822079,3.710973451,3.112667509,3.538305942,3.392528445,2.855486726,3.046510746,4.122477876,4.166599261,2.923583038,3.795368329,3.61346161,5.462891836,3.809925276,3.856886481,3.271544928,3.207682297,3.307474313,4.51620462,3.423865493,3.717165305,2.9807735,4.090728408,4.565888881,4.711550253,4.857211625,4.632004578,4.379954914,4.289783589,4.199612263,4.168719567,4.210917667,4.324209845,4.437502023,4.550794201,4.66408638,4.572088507,4.3848096,4.197530693,3.616469446,3.307435002,3.663498153,4.019561303,4.375624454,4.731687605,4.928612635,5.106349787,5.284086939,5.461824091,5.639561243,5.817298395,5.389912655,4.950493601,4.34110908,3.7903961,4.445484461,5.03510258,4.842130815,4.667806216,4.647493398,4.627180581,4.606867764,4.515931343,4.079205769,4.180337079,4.370269966,3.201788526,3.060832396,2.799448819,2.506158273,3.131135894,4.847905824,2.815167286,4.469083024,1.518655462,3.812462398,2.036693548,1.513763441,3.326666667,3.662473118,4.786129032,5.520967742,2.156810036,1.339283154,2.032370345,2.006162483,1.744166931,1.742192564,1.566317127,1.215242029,1.412322847,1.943813155,2.096140239,1.831471242,1.660439572,4.501664161,4.207407535,3.913150909,3.618894282,3.324637656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,8,58.25,8,Dalene,Dalene.Seppa.2009.lpd,40,Europe>Northern Europe>Scandinavia>Norway,Europe>Northern Europe>Scandinavia>Norway,"Sepp _, H.; Bjune, A. E.; Telford, R. J.; Birks, H. J. B.; Veski, S.",2009,Last nine-thousand years of temperature variability in northern Europe,Climate of the Past,LakeSediment,-56.87,8940.4,pollen,50,15,www.ncdc.noaa.gov/paleo/study/15444,wave3,179.9454,NA,NA,NA,NA,Dalene.Seppa.2009.lpd.csv,LipD,6.508987342,7.215,6.45,6.798,6.008810811,5.975786802,6.640761421,7.071521739,7.194683544,6.75164557,6.410956522,6.518596491,6.992608696,7.056521739,6.3,7.071929825,4.876695652,5.283333333,6.475826087,6.858705882,6.617529412,6.782941176,7.106470588,6.778175182,6.431176471,6.725294118,6.585235294,6.167588235,5.866813725,5.577598039,4.190220588,4.033,5.215352941,5.586842105,5.675294118,4.928235294,4.644705882,5.056470588,4.799298246,4.555044248,5.477894737,6.891946903,6.439122807,5.755575221,5.534336283,4.401403509,6.076842105,6.246283186,5.55990099,5.663861386,5.843298969,6.111340206,6.379381443,6.441408935,6.334879725,6.228350515,6.055841924,5.846219931,5.636597938,5.892137931,6.319724138,6.747310345,6.712979943,6.584040115,6.455100287,6.323304721,6.185965665,6.048453608,5.893814433,5.739175258,5.602413793,5.626551724,5.650689655,5.38827957,3.979677419,2.571075269,2.480411765,4.286294118,3.557058824,3.087352941,5.022647059,4.460818713,2.554385965,5.011176471,7.174705882,7.527647059,7.248470588,6.430823529,6.243312883,6.309411765,6.732376238,6.394390244,6.009016393,6.44,5.63245098,5.88029703,4.312941176,3.348627451,2.620097087,4.396808511,4.290425532,2.442991453,2.097692308,4.764915254,6.757179487,5.628974359,6.267108434,6.123235294,3.505588235,2.356666667,2.315730994,3.473529412,2.563043478,4.232764706,6.656882353,5.992176471,5.364968153,4.791719745,6.657021277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,9,57.8724,-137.1045,EW0408_66JC,EW0408_66JC.Praetorius.2015.lpd,-426,Pacific Ocean>North Pacific Ocean>Gulf Of Alaska,Pacific Ocean>North Pacific Ocean>Gulf Of Alaska,"Praetorius, S. K.; Mix, A. C.; Walczak, M. H.; Wolhowe, M. D.; Addison, J. A.; Prahl, F. G.",2015,North Pacific deglacial hypoxic events linked to abrupt ocean warming,Nature,MarineSediment,4246,13570,alkenone,384,5,www.ncdc.noaa.gov/paleo/study/22400,wave3,24.28125,y,NA,NA,y,EW0408_66JC.Praetorius.2015.lpd.csv,LipD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5836356,9.5419524,9.5002692,9.51484306,9.80408374,10.09332442,10.20434355,9.857078704,9.839400214,10.19338294,10.54736566,10.45441762,10.33294208,10.30748644,10.28708448,10.26668251,9.984486551,9.805187894,9.809610161,9.814032429,9.742495541,9.501888276,9.261281011,9.108745006,9.171831743,9.23491848,9.005199157,8.771250174,8.781466159,8.791682145,8.80189813,8.812114116,8.822330101,8.832546086,8.842762072,8.830086521,8.803380674,8.776674827,8.74996898,8.722746849,8.67883152,8.634916192,8.591000863,8.824753245,9.581271649,9.705529079,9.424645063,8.821694905,7.732425582,8.181700167,8.694759522,8.579862522,8.464965521,8.35006852,8.29938614,8.305648803,8.311911465,8.318174127,8.324436789,8.343029051,8.390390379,8.437751707,8.485113034,8.532474362,8.57983569,8.627197018,8.704673071,8.83342555,8.962178028,9.078955695,9.177771143,9.276586591,9.375402039,9.474217487,9.573032934,9.531822658,9.459875028,9.387927398,9.315979767,9.244032137,9.172084507,9.876076676,9.921377033,9.966677391,10.01197775,9.80296597,9.580569342,9.432391928,9.329982242,9.229034849,9.631900785,10.01222752,9.672012273,9.113372358,9.496949638,9.540341372,8.511497233,9.583877221,10.94396688,11.26813125,11.63367264,9.276735531,7.429950142,7.009217666,7.144304847,7.238223121,7.030236079,6.752090066,6.45055773,6.210524839,5.962891576,6.240598151,6.933625581,7.306790336,7.969241291,8.168081512,8.155036871,7.969158222,8.071066393,8.384771902,9.118059798,9.358097054,9.38674118,9.415385305,9.444029431,9.548624453,9.426210256,9.102224456,10.02859677,9.690530772,10.6591814,9.074680059,9.419370821,9.644690111,9.414366668,9.351389918,9.412906584,8.997053827,8.190626087,8.125284499,7.711211496,6.429951416,7.330827648,7.050596289,6.602079197,5.270062007,6.003053345,5.887221916,5.829900099,5.78630276,5.76766644,5.751803567,5.579124538,5.35134794,5.123571343,4.85612762,4.267740788,3.679353956,3.140627344,2.906956365,3.049442426,4.568244256,4.459111491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,10,59.5554,-144.1535,EW0408_85JC,EW0408_85JC.Praetorius.2015.lpd,-682,Pacific Ocean>North Pacific Ocean>Gulf Of Alaska,Pacific Ocean>North Pacific Ocean>Gulf Of Alaska,"Praetorius, S. K.; Mix, A. C.; Walczak, M. H.; Wolhowe, M. D.; Addison, J. A.; Prahl, F. G.",2015,North Pacific deglacial hypoxic events linked to abrupt ocean warming,Nature,MarineSediment,1039,17390,alkenone,251,5,www.ncdc.noaa.gov/paleo/study/21950,wave3,65.14342629,y,NA,NA,y,EW0408_85JC.Praetorius.2015.lpd.csv,LipD,NA,NA,NA,-6.747142857,-6.747142857,-6.55438939,-6.264098023,-6.684567193,-7.278526306,-7.221125455,-7.114551929,-6.900109212,-6.720971471,-6.671969128,-6.80400622,-7.275830787,-7.504091415,-7.471120253,-7.363901229,-7.211059447,-6.993037687,-6.754365015,-6.633699087,-6.498384001,-5.887578637,-5.304954878,-4.827648351,-4.961694013,-6.108596279,-6.089121538,-5.131030107,-5.14631109,-5.481050598,-6.164017367,-6.507055156,-5.808163713,-5.504285714,-5.504285714,-5.504285714,-5.504285714,-5.504285714,-5.860622888,-5.67450091,-4.937328145,-4.544078343,-4.53,-4.908587849,-4.541763619,-4.53,-5.433929135,-5.632857143,-4.881756561,-5.753672959,-6.560092709,-5.728825332,-5.387640273,-5.591662721,-5.964973675,-5.328402614,-5.901451258,-4.843148688,-4.415109984,-3.894936179,-4.434296737,-4.421456332,-5.101290824,-3.8656582,-3.331329791,-3.327487944,-4.237206752,-3.754285714,-3.983997644,-2.66490596,-2.094285714,-3.724378374,-2.094285714,-3.291099178,-3.228598802,-3.06923016,-2.094285714,-3.135714286,-4.145671468,-4.368352325,-7.584871543,-4.3304986,-7.173833408,-6.041922554,-7.453080672,-7.143827426,-6.373670765,-6.132857143,-6.132857143,-7.585890455,-8.930165765,-6.923734904,-7.853550422,-7.480152712,-7.760321125,-6.586881302,-5.731076741,-3.855519119,-3.461246845,-4.261428571,-4.261428571,-4.790303936,-5.654197052,-6.627560053,-7.843996008,-9.757275576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
